ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 4 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก (Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
(9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
,,,,,2,อ.พิชนก จำปาทอง,12,12+1+1+1+1,16,ศ.3-4,ม.6/5,ศ.3-4,ม.6/5,
12,ว30290,การประดิษฐ์ดาวเทียมจำลอง CANSAT,1,2,1,อ.ปิยาภรณ์ สิงหาทุม,25,2+1+1+1,5,ศ.3-4,ม.6/7,ศ.3-4,ม.6/7,
13,ว31234,เคมี 2,2,4,1,อ.รัฏฏิกา ตั้งพุทธิพงศ์ (เต็ม),40,35+1+1+1+1,39,"จ.1-2, พ.6, พฤ.6",ม.4/4,"จ.1-2, พ.6, พฤ.6",ม.4/4,
,,,,,2,อ.ธาริณี วิทยาอนิวรรตน์,35,2+2+1+1+1+1+1+1+1+1-1,11,"จ.6, พ.1-2, ศ.4","จ.6, พ.1-2 ม.4/1, 
ศ.4 ม.6/2","อ.7, พ.1-2, ศ.4","อ.7,พ.1-2 ม.4/1, 
ศ.4 ม.6/2",
,,,,,3,อ.ณัฐธยาน์ เลขะวัฒนพงษ์,35,34-1+1+1+1+1,37,"จ.3-4, พ.3-4",ม.4/1,"จ.3-4, พ.3-4",ม.4/1,
,,,,,4,อ.วรุตม์ ผิวงาม (เต็ม),35,35+1+1+1+1,39,"จ.1-2, พ.6, พฤ.6",ม.4/2,"จ.1-2, พ.6, พฤ.6",ม.4/2,
14,ว31251,ชีววิทยา 1,1.5,3,1,อ.ศุจิกา งามสอาด (เต็ม),37,37-1+1+1-1-1+1,37,"พฤ.0, ศ.3-4",ห้องปฏิบัติการสื่อประสม 3,"อ.6, ศ.3-4",ห้องปฏิบัติการสื่อประสม 3,
,,,,,2,อ.ศุจิกา งามสอาด,35,17+1+1+1+1+1+1+1+1,25,"จ.4, พฤ.7-8",ม.4/2,"จ.4, พฤ.7-8",ม.4/2,
,,,,,3,อ.สายสวาท สุวัณณกีฏะ,35,10+1+1,12,"จ.4, พฤ.3-4","จ.4 ม.6/6, 
พฤ.3-4 ม.5/6","จ.4, พฤ.3-4","จ.4 ม.6/6, 
พฤ.3-4 ม.5/6",
,,,,,4,อ.สายสวาท สุวัณณกีฏะ,35,18+1+1+1-1-1-1-1-1+1,17,"พฤ.0, ศ.3-4",ม.4/2,"อ.6, ศ.3-4",ม.4/2,
