ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 5 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก(Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
 (4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
,,,,,4,อ.จักรกฤต ภุชงค์ประเวศ,35,35+2-1-1-1-1-1-1-1-1+1+1+1+1+1-1+1-1,33,"พ.8, พฤ.7, ศ.1-2","พ.8, ศ.1-2 ม.6/3, 
พฤ.7 ม.5/4","อ.3, พฤ.7, ศ.1-2","อ.3 ศ.1-2 ม.6/3, 
พฤ.7 ม.5/4",Update 11/10/2566
15,ว32253,ชีววิทยา 3,1.5,3,1,ผศ.น้ำผึ้ง ศุภอุทุมพร,35,32-1-1-1-1-1+1+1-1-1+1-1,27,"จ.1, ศ.8-9",ม.5/4,"จ.1, อ.1-2",ม.5/4,
,,,,,2,อ.สายสวาท สุวัณณกีฏะ,35,14,14,"จ.1-2, พ.6","จ.1-2 ม.3/2, พ.6 ม.1/2","จ.1-2, พ.6","จ.1-2 ม.3/2, พ.6 ม.1/2",
,,,,,3,อ.ศุจิกา งามสอาด,35,18-1-1+1+1-1+1+1,19,"จ.1-2, ศ.9",ม.5/1,"จ.1-2, อ.2",ม.5/1,
,,,,,4,อ.ศุจิกา งามสอาด,35,3-1,2,"จ.3, พ.1-2",ม.5/1,"จ.3, พ.1-2",ม.5/1,
16,ว32293,ประสบการณ์ตรงกับผู้เชี่ยวชาญด้านการแพทย์,1,2,1,อ.นพ.วรท ธัญ ธัญญะกิจไพศาล,25,17-1 -1,15,ศ.6-7,ม.5/3,ศ.7-8,ม.5/3,
17,ส30235,กฎหมายลิขสิทธิ์พื้นฐานในโลกยุคดิจิทัล,1,2,1,อ.ภาคภูมิ มโนมัยวงศ์,11,8-1-1-1-1+1,5,พฤ.7-8,ม.5/1,พฤ.7-8,ม.5/1,
18,ส32236,เศรษฐศาสตร์สีเขียว,0.5,1,1,ผศ.ดร.ศรัณย์พร ยินดีสุข,35,23+1+1+1+1+1,28,พ.6,ม.3/7,พ.6,ม.3/7,
19,ส32238,แบกเป้ตะลุยโลก,0.5,1,1,อ.ปรารถนา เกษน้อย,35,32-1-1-1+1+1-1-1-1-1+1,28,พฤ.6,ม.5/3,พฤ.6,ม.5/3,
20,ส32239,นิติกรน้อย,1,2,1,อ.สรายุทธ ไกรวัฒนพงศ์,35,18-1-1+1+1+1,19,จ.1-2,ห้องปฏิบัติการคณิตศาสตร์,จ.1-2,ห้องปฏิบัติการคณิตศาสตร์,
21,ส32241,การจัดการความเสี่ยงและประกันภัย,0.5,1,1,อ.สรายุทธ ไกรวัฒนพงศ์,35,5 -1 -1,3,พ.6,ห้องปฏิบัติการศิลปะ 318,พ.6,ห้องปฏิบัติการศิลปะ 318,
22,ส32247,กิจกรรมบอร์ดเกมในวิชาสังคมศึกษา,0.5,1,1,อ.ดร.สิริภัทร ชื่นค้า,35,21-1-1+1-1-1-1-1-1,15,พ.1,ห้องปฏิบัติการศิลปะ 319,พ.1,ห้องปฏิบัติการศิลปะ 319,
23,ส32248,งานภาคสนามในวิชาสังคมศึกษา,1,2,1,อ.วิทวัส ศรีเทพ,10,10-1+1,10,พ.8-9,ม.4/2,อ.3-4,ม.4/2,
24,พ32231,ผู้ตัดสินฮอกกี้,1,2,1,อ.ฉฏาธร จันทร์ประดิษฐ์,30,10-1-1-1-1-1,5,จ.1-2,สนามหลัง ม.6,จ.1-2,สนามหลัง ม.6,
25,พ32238,ซอฟท์บอลเพื่อการแข่งขัน 4,1,2,1,อ.ปรีชา สุริยะ,25,25-1-1+1+1+1-1+1-1-1-1,23,ศ.6-7,สนามหน้าเสาธง,ศ.7-8,สนามหน้าเสาธง,
26,พ32246,การจัดการแข่งขันฟุตบอล,1,2,1,อ.ทรงพล เพ็ชรทอง (เต็ม),35,30+1+1-1+1+1+1+1-1+1,35,จ.1-2,สนามหญ้าเทียม,จ.1-2,สนามหญ้าเทียม,
27,พ32247,เพศวิถีศึกษา,0.5,1,1,อ.วรกมล สุนทรานนท์,35,19+1+1-1+1-1+1+1-1,21,พ.6,ม.2/1,พ.6,ม.2/1,
28,พ32249,เทเบิลเทนนิสขั้นสูง,1,2,1,อ.ดร.ชญาภัสร์ ยาสุอิ,20,7+1+1+1,10,พ.1-2,ห้องปิงปอง,พ.1-2,ห้องปิงปอง,
29,พ32250,ฟุตซอลเบื้องต้น,1,2,1,อ.วชิรวิทย์ ช้างแก้ว (เต็ม),35,30+1+1-1+1+1-1+1+1,34,พฤ.7-8,สนามวอลเลย์บอล,พฤ.7-8,สนามวอลเลย์บอล,
30,พ32251,กิจกรรมตะกร้อ 2,0.5,1,1,อ.ธนวิทย์ ช่วยบำรุง,25,7-1-1+1,6,พฤ.6,สนามบาสเกตบอล,พฤ.6,สนามบาสเกตบอล,
31,พ32254,การเสริมสร้างสมรรถภาพทางกายสำหรับนักกีฬา,1,2,1,อ.ฮานาฟีย์ ยี่สุ่นทรง,15,6-1+1,6,พ.1-2,ห้องฟิตเนต,พ.1-2,ห้องฟิตเนต,
32,พ30203,การจัดการค่ายพักแรม,0.5,1,1,อ.ชวลิต บุญประเสริฐ,25,0+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,23,พ.9,ห้องปฏิบัติการลูกเสือ-เนตรนารี,อ.4,ห้องปฏิบัติการลูกเสือ-เนตรนารี,รายวิชาเปิดใหม่
33,ศ30204,ปฏิบัติการวงโยธวาทิต ม.ปลาย 2,1,2,1,อ.สุปัฏฐ์ แก้วกุลวณิชย์,15,0,0,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,
34,ศ30210,ทักษะดนตรีไทย 2,1,2,1,อ.สโรชา อัศวผาติบุญ (เต็ม),6,5 -1 +1+1-1-1-1+1+1+1,6,พ.1-2,ห้องปฏิบัติการดนตรีไทย 215,พ.1-2,ห้องปฏิบัติการดนตรีไทย 215,
35,ศ30216,การถ่ายภาพเบื้องต้นแฟชั่นและบุคคล,1,2,1,อ.ดวงรัตน์ บุณยประสิทธิ์,7,6,6,พฤ.7-8,ม.6/4,พฤ.7-8,ม.6/4,Update 19/10/2566
36,ศ30225,ปฏิบัติการวงโยธวาทิต ม.ปลาย 4,1,2,1,อ.สุปัฏฐ์ แก้วกุลวณิชย์,15,1,1,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,
37,ศ30227,ปฏิบัติการวงโยธวาทิต ม.ปลาย 6,1,2,1,อ.สุปัฏฐ์ แก้วกุลวณิชย์,15,1,1,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,
38,ศ30228,ทักษะศิลปะตามถนัด2,1,2,1,อ.สกุล บางศรี,5,0,0,พฤ.7-8,ห้องปฏิบัติการศิลปะ 320,พฤ.7-8,ห้องปฏิบัติการศิลปะ 320,
,,,,,2,ผศ.พัชริน สงวนผลไพโรจน์,5,5+1,6,พฤ.7-8,ห้องปฏิบัติการศิลปะ 106,พฤ.7-8,ห้องปฏิบัติการศิลปะ 106,
,,,,,3,อ.ดร.อติญา วงษ์วาท,5,1,1,พฤ.7-8,ห้องปฏิบัติการศิลปะ 318,พฤ.7-8,ห้องปฏิบัติการศิลปะ 318,
39,ศ30233,ศิลปะไทยสร้างสรรค์,1,2,1,อ.อัฐพล หมั่นกุดเวียน,5,0,0,พฤ.7-8,ห้องปฏิบัติการศิลปะ 319,พฤ.7-8,ห้องปฏิบัติการศิลปะ 319,
40,ศ30234,จิตรกรรมสีน้ำมัน,1,2,1,อ.อัฐพล หมั่นกุดเวียน,5,3+1+1+1,6,จ.1-2,ห้องปฏิบัติการศิลปะ 319,จ.1-2,ห้องปฏิบัติการศิลปะ 319,
41,ศ30235,การปฏิบัติกลองไทยสร้างสรรค์,1,2,1,อ.ภูวิศ แถวเพีย (เต็ม),10,6+1+1+1+1,10,พฤ.7-8,ห้องปฏิบัติการดนตรีไทย 215,พฤ.7-8,ห้องปฏิบัติการดนตรีไทย 215,
42,ศ32211,การวิจารณ์ภาพยนตร์ 2,1,2,1,อ.กชกร เทศถมยา (เต็ม),22,19+1-1+1+1+1-1+1,22,พ.1-2,ห้องปฏิบัติการนาฏศิลป์ 214,พ.1-2,ห้องปฏิบัติการนาฏศิลป์ 214,
43,ศ32226,ดนตรีกับการแสดง,1,2,1,อ.ภูวิศ แถวเพีย(เต็ม),28,15+1+1+1+1+1+1+1+1-1+1,23,ศ.8-9,ห้องปฏิบัติการดนตรีไทย 215,อ.1-2,ห้องปฏิบัติการดนตรีไทย 215,
44,ศ32227,เทคนิคการใช้เสียงในรูปแบบต่างๆ ขั้นพื้นฐาน,1,2,1,อ.ดร.โสภณ วุฒิประเสริฐกุล,20,2+1+1+1+1-1-1-1,3,พ.1-2,ห้องปฏิบัติการขับร้องประสานเสียง,พ.1-2,ห้องปฏิบัติการขับร้องประสานเสียง,
45,ศ32233,ความถนัดทางสถาปัตยกรรมศาสตร์ 2Plus,1,2,1,อ.อาทิตยา ผดุงมาตรวรกุล,20,12,12,จ.3-4,ห้องปฏิบัติการศิลปะ 318,จ.3-4,ห้องปฏิบัติการศิลปะ 318,
46,ง30258,การจัดการข้อมูลสู่แฟ้มสะสมผลงาน,1,2,1,อ.พริ้วฝน เทียนศรี,13,10+1+1-1,11,พฤ.7-8,ห้องปฏิบัติการ Smart IT,พฤ.7-8,ห้องปฏิบัติการ Smart IT,
,,,,,2,อ.พริ้วฝน เทียนศรี,25,25-1-1,23,จ.3-4,ห้องศูนย์คอมพิวเตอร์,จ.3-4,ห้องปฏิบัติการ Smart IT,Update 09/10/2566
47,ง30266,อิเล็กทรอนิกส์พื้นฐานสร้างสรรค์ 1,1,2,1,ผศ.ดร.นาถวดี นันทาภินัย,10,7+1+1,9,พฤ.7-8,ห้องปฏิบัติการอิเล็กทรอนิกส์,พฤ.7-8,ห้องปฏิบัติการอิเล็กทรอนิกส์,
48,ง30291,ขนมไทยอะไรเอ่ย,1,2,1,อ.ศิรดา ทองเชื้อ,20,20+1-1+1,21,จ.1-2,ห้องเรียนและห้องปฏิบัติการอาหาร 2,จ.1-2,ห้องเรียนและห้องปฏิบัติการอาหาร 2,
49,ง30297,ห้องเรียนสกัดสมุนไพร,1,2,1,อ.โมริสา ขันทีท้าว,25,20+1+1+1+1+1-1+1+1,26,ศ.1-2,ห้องปฏิบัติการงานเกษตร,ศ.1-2,ห้องปฏิบัติการงานเกษตร,
,,,,,2,อ.โมริสา ขันทีท้าว,25,20-1-1+1+1+1-1-1+1+1+1+1,23,ศ.6-7,ห้องปฏิบัติการงานเกษตร,ศ.7-8,ห้องปฏิบัติการงานเกษตร,
50,ง30299,กราฟิกพลิกอาชีพ,1,2,1,อ.วนาลี หนูสม,18,10+1+1-1+1+1+1,14,พฤ.7-8,ห้องปฏิบัติการคอมพิวเตอร์ และ STEM LAB,พฤ.7-8,ห้องปฏิบัติการคอมพิวเตอร์ และ STEM LAB,
,,,,,2,อ.วนาลี หนูสม (เต็ม),18,18-1+1,18,ศ.1-2,ห้องปฏิบัติการคอมพิวเตอร์ และ STEM LAB,ศ.1-2,ห้องปฏิบัติการคอมพิวเตอร์ และ STEM LAB,
51,ง30283,นักสร้างแบรนด์ ผ่านบรรจุภัณฑ์,1,2,1,อ.พริ้วฝน เทียนศรี,18,0+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1-1+1+1+1+1+1+1+1,21,พ.8-9,"พ.8-9 ห้องปฏิบัติการ Smart IT, 
พ.8-9 ห้องศูนย์คอมพิวเตอร์",อ.3-4,"อ.3-4 ห้องปฏิบัติการ Smart IT, 
พ.8-9 ห้องศูนย์คอมพิวเตอร์",รายวิชาเปิดใหม่
52,ง30274,นวัตกรรมการแปรรูปผลผลิตทางการเกษตร,1,2,3,อ.ดร.อริสา วันทัศน์,20,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,21,ศ.6-7,ห้องปฏิบัติการงานเกษตร/ม.2/2,ศ.7-8,ห้องปฏิบัติการงานเกษตร/ม.2/2,รายวิชาเปิดใหม่
53,ง30275,เรื่องของความสุก,0.5,1,4,อ.ดร.อริสา วันทัศน์,20,0+1+1+1,3,พ.9,ห้องปฏิบัติการงานเกษตร/ม.5/4,อ.4,ห้องปฏิบัติการงานเกษตร/ม.5/4,รายวิชาเปิดใหม่
,,,,,5,อ.ดร.อริสา วันทัศน์ (เต็ม),20,0+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,25,จ.0,ม.5/4,ศ.6,ม.5/4,รายวิชาเปิดใหม่
54,ก30204,ปริทรรศน์ภาษาเกาหลี 4,1,2,1,อ.แพร์ฉายญ์ พรประสิทธิ์,35,2,2,ศ.6-7,ม.5/4,ศ.7-8,ม.5/4,
55,ก30207,ภาษาเกาหลีสำหรับการสอบ TOPIK,1,2,1,Ms.Hyerin Kim,12,2,2,พฤ.7-8,ม.6/1,พฤ.7-8,ม.6/1,
56,ก32210,ภาษาเกาหลี คาจา 4,1,2,1,Ms.Hyerin Kim,35,20-1-1-1-1-1-1-1,13,ศ.6-7,ม.5/7,ศ.7-8,ม.5/7,
57,จ30232,ภาษาจีนเบื้องต้น 2,1,2,1,อ.ชัญญภัค โตเจริญบดี,12,1,1,พฤ.7-8,ม.5/7,พฤ.7-8,ม.5/7,
58,จ30234,ภาษาจีนเบื้องต้น 4,1,2,1,Mrs.Lindan Tan,12,2-1-1,0,พฤ.7-8,ม.5/3,พฤ.7-8,ม.5/3,
59,จ30242,ภาษาจีนสำหรับการสอบ HSK 2,0.5,1,1,อ.ชัญญภัค โตเจริญบดี,35,1,1,ศ.6,ม.4/4,ศ.7,ม.4/4,Update 11/10/2566
60,จ32202,ภาษาจีน 4,3,6,1,Mrs.Lindan Tan,6,4+1,5,"จ.1-2, พ.2,6,8, ศ.9","จ.1-2,พ.8,ศ.9 ม.5/3, 
พ.2,6 ม.6/6","จ.1-2, อ.2-3, พ.2,6","จ.1-2,อ.2-3 ม.5/3, 
พ.2,6 ม.6/6",
61,ญ30232,ภาษาญี่ปุ่นเบื้องต้น 2,1,2,1,อ.ดร.กวิตา ฟองสถาพร,12,3,3,พฤ.7-8,ม.5/6,พฤ.7-8,ม.5/6,
62,ญ30236,ภาษาญี่ปุ่นขั้นสูง 2,1,2,1,Mr.Takeshi Kashima,12,2+1,3,พฤ.7-8,ม.6/3,พฤ.7-8,ม.6/3,
63,ญ32202,ภาษาญี่ปุ่น 4,3,6,1,อ.ดร.กวิตา / Mr.Takeshi,11,8,8,"จ.1-2, พ.2,6,8, ศ.9","จ.1-2,พ.6,8,ศ.9  ม.5/6, 
พ.2 ม.6/3","จ.1-2, อ.2-3, พ.2,6","จ.1-2,อ.2-3,พ.6 ม.5/6, 
พ.2 ม.6/3",
64,ป30215,ภาษาสเปนเบื้องต้น,1,2,1,อ.เบญจมาศ วงศ์สาม,35,2,2,พฤ.7-8,ม.6/7,พฤ.7-8,ม.6/7,
65,ป32201,ภาษาสเปนเบื้องต้น 2,1,2,1,อ.เบญจมาศ วงศ์สาม,35,0,0,จ.3-4,ห้องปฏิบัติการศิลปะ320,จ.3-4,ห้องปฏิบัติการศิลปะ320,เปลี่ยนแปลงคาบวัน
66,ฝ32202,ภาษาฝรั่งเศส 4,3,6,1,อ.ณิชาภัทร วินัยธรรมกุล,6,5,5,"จ.1-2, พ.2,6,8, ศ.9","จ.1-2,พ.6,8,ศ.9 ม.5/7, 
พ.2 ม.2/7","จ.1-2, อ.2-3, พ.2,6","จ.1-2,อ.2-3,พ.6 ม.5/7, 
พ.2 ม.2/7",
67,ย30232,ภาษาเยอรมันเบื้องต้น 2,1,2,1,อ.ณัฏฐริญา ชินะพัฒนวงศ์,12,1,1,พฤ.7-8,ม.4/6,พฤ.7-8,ม.4/6,
68,ย32202,ภาษาเยอรมัน 4,3,6,1,ผศ.รัตนา / อ.ณัฏฐริญา,2,2,2,"จ.1-2, พ.2,6,8, ศ.9",ห้องปฏิบัติการชมรมภาษาต่างประเทศ,"จ.1-2, อ.2-3, พ.2,6",ห้องปฏิบัติการชมรมภาษาต่างประเทศ,
69,อ30235,ภาษาพา(ตะ)ลุยโลกกว้างทางอาชีพ,0.5,1,1,อ.พิสันธนีย์ / อ.อภันตรี (เต็ม),12,12+1-1,12,พฤ.8,ม.2/4,พฤ.8,ม.2/4,
70,อ32202,การอ่านภาษาอังกฤษ 4,1,2,1,อ.กฤตรัตน์ กฤตวัฒนวงศ์,35,19-1-1-1+1+1-1-1+1,17,ศ.1-2,ม.5/7,ศ.1-2,ม.5/7,
,,,,,2,อ.กฤตรัตน์ กฤตวัฒนวงศ์,35,28-1+1-1+1+1+1+1,31,"พ.9, ศ.8",ม.5/3,"อ.1,4",ม.5/3,
,,,,,3,อ.วิไลพรรณ สุคนธทรัพย์,35,0,0,จ.3-4,ห้องปฏิบัติการศิลปะ 319,จ.3-4,ห้องปฏิบัติการศิลปะ 319,เปลี่ยนแปลงคาบวัน
71,อ32220,ทักษะการสื่อสารภาษาอังกฤษ 4,0.5,1,1,Ms.Chelsi / อ.จารุภัทร,35,0,0,พ.6,ม.6/2,พ.6,ม.6/2,
,,,,,2,Ms.Chelsi / อ.อศินา,35,3,3,พฤ.6,ม.4/5,พฤ.6,ม.4/5,
72,อ32264,การอ่าน การเขียนเพื่อสอบIELTS 5,1,2,1,T.David / T.Thomas,20,0,0,"จ.0, พฤ.7",ม.5/2,"พฤ.7,ศ.6",ม.5/2,รายวิชาเปิดใหม่ Update 16/10/2566
,,,,,,,,,,,,,,ณ 5 ต.ค. 66
