ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 5 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก(Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
 (4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
1,ท30220,อ่านสร้างสรรค์,1,2,1,อ.ดร.สันติวัฒน์ จันทร์ใด,25,25-1-1-1-1-1-1-1-1-1-1-1-1+1,14,"จ.0,ศ.6",ม.5/1,ศ.6-7,ม.5/1,
2,ท30221,คำต่อคำ,1,2,1,อ.สุมิตรา คุณวัฒน์บัณฑิต (แนวตั้ง ไม่เกิน 35),12,10 -1 -1-1,7,พฤ.7-8,ม.4/1,พฤ.7-8,ม.4/1,
3,ท32210,โครงงานภาษาไทย 2,1,2,1,อ.ดร.เฉลิมลาภ ทองอาจ,25,1,1,จ.1-2,ม.5/2,จ.1-2,ม.5/2,
4,ค30213,โครงการวิจัย Research Project,0.5,1,1,อ.ดร.ภัทรภร / อ.ดร.กรวรรณ,7,3+1,4,พฤ.7,ห้องปฏิบัติการคณิิตศาสตร์,พฤ.7,ห้องปฏิบัติการคณิิตศาสตร์,Update 16/10/2566
5,ค32209,พรีแคลคูลัส 2,1,2,1,ผศ.ชัยศักดิ์ ชั่งใจ,35,28-1+1-1,27,ศ.6-7,ม.5/6,ศ.7-8,ม.5/6,
6,ค32232,คณิตศาสตร์เพิ่มเติม 10,1.5,3,1,ผศ.สุวรรณา ทิมสถิตย์,35,28-1-1-1-1-1+1-1+1,24,"จ.2, พ.1-2",ม.5/4,"จ.2, พ.1-2",ม.5/4,
,,,,,2,อ.วิวัฒน์ ลีวงศ์วัฒน์,35,7-1-1-1+1,5,"พ.8-9, พฤ.6",ม.5/1,"อ.3-4, พฤ.6",ม.5/1,
,,,,,3,อ.ธนพัฒน์ ทองมา,35,35-1+1+1+1,37,"จ.0, พ.1-2",ม.5/3,"พ.1-2, ศ.6",ม.5/3,
,,,,,4,อ.มารุต เลิศจตุรพร,35,17+1-1+1+1+1+1+1,22,"พ.6, ศ.1-2",ม.5/1,"พ.6, ศ.1-2",ม.5/1,
,,,,,5,อ.วิมลมาศ อำพลพงษ์,35,10+1+1-1+1+1+1+1,15,"จ.3, พ.1-2","จ.3 ม.1/3, พ.1-2 ม.2/5","จ.3, พ.1-2","จ.3 ม.1/3, พ.1-2 ม.2/5",
,,,,,6,อ.ไพโรจน์ โอ่งตั๋ว,35,23+1+1-1-1,23,"พฤ.6, ศ.8-9",ม.5/2,"อ.1-2, พฤ.6",ม.5/2,
,,,,,7,อ.วิวัฒน์ ลีวงศ์วัฒน์,35,0+1+1+1+1+1+1+1+1+1+1+1+1+1+1-1,13,"พ.1-2,พฤ.7","พ.1-2 ห้องปฏิบัติการคณิตศาสตร์, 
 พฤ.7 ม.5/5","พ.1-2,พฤ.7","พ.1-2 ห้องปฏิบัติการคณิตศาสตร์, 
 พฤ.7 ม.5/5",รายวิชาเปิดใหม่
7,ค30214,เสริมทักษะคณิตศาสตร์,0.5,1,1,อ.ดร.กุลนิดา ปลื้มปิติวิริยะเวช,35,0,0,พฤ.7,ม.2/3,พฤ.7,ม.2/3,รายวิชาเปิดใหม่
8,ว30213,ฟิสิกส์ 3,1.5,3,1,อ.พรเทพ ทองตั้ง,35,33+1+1+1,36,"จ.3-4, พ.6","จ.3-4 ม.5/3, พ.6 ห้องปฏิบัติการฟิสิกส์1","จ.3-4, พ.6","จ.3-4 ม.5/3, พ.6 ห้องปฏิบัติการฟิสิกส์1",Update11/10/2566
,,,,,2,ผศ.อมรรัตน์ บุบผโชติ,35,2,2,"จ.1, พฤ.7-8","จ.1 ม.3/6, พฤ.7-8 ม.2/7","จ.1, พฤ.7-8","จ.1 ม.3/6, พฤ.7-8 ม.2/7",
,,,,,3,อ.น้ำฝน นาสวาสดิ์,35,7+1+1+1+1+1+1+1+1+1+1,17,"พ.8, ศ.1-2","พ.8 ม.3/5, ศ.1-2 ม.5/2","อ.3, ศ.1-2","อ.3 ม.3/5, ศ.1-2 ม.5/2",
,,,,,4,อ.น้ำฝน นาสวาสดิ์,35,28-1-1-1-1-1-1-1-1-1-1-1-1-1,15,"จ.3-4, พ.6",ม.5/2,"จ.3-4, พ.6",ม.5/2,
,,,,,5,อ.น้ำฝน นาสวาสดิ์,35,21+1+1+1-1+1,24,"พฤ.8, ศ.6-7",ม.5/2,"พฤ.8, ศ.7-8",ม.5/2,
9,ว30232,เคมี CUD-AP 2,1,2,1,อ.รัฏฏิกา ตั้งพุทธิพงศ์,5,2,2,"จ.0,จ.4","จ.4 ห้องปฏิบัติการงานเกษตร, จ.0 ม.6/5","จ.4,ศ.6","จ.4 ห้องปฏิบัติการงานเกษตร, ศ.6 ม.6/5",Update11/10/2566
10,ว30252,ชีววิทยา CUD-AP 2,1,2,1,ผศ.น้ำผึ้ง ศุภอุทุมพร,10,8,8,พ.1-2,ม.6/2,พ.1-2,ม.6/2,
11,ว30263,โลก ดาราศาสตร์และอวกาศ 3,1,2,1,อ.ปิยาภรณ์ สิงหาทุม,35,30-1+1-1+1-1+1+1+1+1,33,ศ.8-9,ห้องปฏิบัติการคณิตศาสตร์,อ.1-2,ห้องปฏิบัติการคณิตศาสตร์,
12,ว30289,กิจกรรมชีววิทยา,1,2,1,อ.ใหม่ ว วิทย์,12,9+1+1+1+1,13,ศ.8-9,ห้องปฏิบัติการชีววิทยา 2,อ.1-2,ห้องปฏิบัติการชีววิทยา 2,
13,ว30290,การประดิษฐ์ดาวเทียมจำลอง CANSAT,1,2,1,อ.ปิยาภรณ์ สิงหาทุม,25,5-1-1-1-1-1-1,0,พฤ.7-8,ห้องปฏิบัติการดาราศาสตร์,พฤ.7-8,ห้องปฏิบัติการดาราศาสตร์,
14,ว32234,เคมี 4,2,4,1,อ.ธาริณี วิทยาอนิวรรตน์,35,35+1+1+1+1-1-1+1-1+1-1+1+1,39,"พ.8, พฤ.6, ศ.1-2",ม.5/4,"อ.3, พฤ.6, ศ.1-2",ม.5/4,
,,,,,2,อ.ธาริณี วิทยาอนิวรรตน์,35,4+1+1+1+1+1+1+1,12,"จ.3-4, พ.6, พฤ.8",ม.5/4,"จ.3-4, พ.6, พฤ.8",ม.5/4,
,,,,,3,อ.จักรกฤต ภุชงค์ประเวศ,35,1+1,2,"จ.3, พ.1-2, ศ.8","จ.3 ม.2/1, 
พ.1-2,ศ.8 ม.5/6","จ.3, อ.1, พ.1-2","จ.3 ม.2/1, 
อ.1,พ.1-2 ม.5/6",
